route,device,before_performance_score,after_performance_score,delta_performance_score,delta_pct_performance_score,before_fcp_ms,after_fcp_ms,delta_fcp_ms,delta_pct_fcp_ms,before_lcp_ms,after_lcp_ms,delta_lcp_ms,delta_pct_lcp_ms,before_cls,after_cls,delta_cls,delta_pct_cls,before_tbt_ms,after_tbt_ms,delta_tbt_ms,delta_pct_tbt_ms,before_speed_index_ms,after_speed_index_ms,delta_speed_index_ms,delta_pct_speed_index_ms,before_ttfb_ms,after_ttfb_ms,delta_ttfb_ms,delta_pct_ttfb_ms
home,mobile,68.0,68.0,0.0,0.0,2864.6,2870.6,6.0,0.21,41983.4,35922.2,-6061.3,-14.44,0.0628,0.0628,0.0,0.0,46.5,22.0,-24.5,-52.69,3907.4,3836.0,-71.4,-1.83,93.0,107.0,14.0,15.05
home,desktop,68.0,67.0,-1.0,-1.47,658.6,659.2,0.6,0.09,7212.5,10904.8,3692.3,51.19,0.0146,0.0221,0.0075,51.2,0.0,0.0,0.0,,3105.8,2956.0,-149.9,-4.83,89.0,108.0,19.0,21.35
catalog,mobile,69.0,66.0,-3.0,-4.35,2703.3,2704.6,1.3,0.05,9611.0,10582.0,971.0,10.1,0.0287,0.029,0.0004,1.36,99.0,53.0,-46.0,-46.46,4297.5,3909.0,-388.5,-9.04,81.0,75.0,-6.0,-7.41
catalog,desktop,60.0,77.0,17.0,28.33,644.3,643.2,-1.1,-0.17,6149.1,4332.8,-1816.3,-29.54,0.0036,0.0031,-0.0006,-15.32,306.0,0.0,-306.0,-100.0,1902.4,1846.9,-55.4,-2.91,83.0,79.0,-4.0,-4.82
services,mobile,71.0,71.0,0.0,0.0,2553.6,2552.4,-1.1,-0.04,9459.8,11112.2,1652.4,17.47,0.0001,0.0001,0.0,0.0,7.0,22.0,15.0,214.29,2868.3,2778.3,-90.1,-3.14,50.0,47.0,-3.0,-6.0
services,desktop,89.0,89.0,0.0,0.0,602.7,602.8,0.1,0.01,2091.0,2086.0,-5.0,-0.24,0.0457,0.0365,-0.0092,-20.07,0.0,0.0,0.0,,1075.4,1118.2,42.9,3.99,47.0,49.0,2.0,4.26
contacts,mobile,66.0,67.0,1.0,1.52,2680.6,2680.2,-0.4,-0.01,9826.9,11722.1,1895.2,19.29,0.019,0.019,0.0,0.07,225.5,192.0,-33.5,-14.86,3470.1,3563.5,93.4,2.69,57.0,47.0,-10.0,-17.54
contacts,desktop,87.0,87.0,0.0,0.0,672.8,664.7,-8.1,-1.2,2064.1,2126.9,62.8,3.04,0.0037,0.0037,0.0,0.0,0.0,0.0,0.0,,1746.2,1734.7,-11.4,-0.65,53.0,49.0,-4.0,-7.55
representative_product,mobile,65.0,65.0,0.0,0.0,2713.8,2716.2,2.3,0.09,9484.6,10530.2,1045.5,11.02,0.0044,0.0044,-0.0,-1.01,31.0,28.0,-3.0,-9.68,6381.4,6100.7,-280.6,-4.4,73.0,74.0,1.0,1.37
representative_product,desktop,78.0,70.0,-8.0,-10.26,650.5,656.4,5.9,0.91,3210.7,2041.1,-1169.7,-36.43,0.0082,0.0095,0.0014,17.11,0.0,0.0,0.0,,1798.3,2328.3,530.0,29.47,70.0,87.0,17.0,24.29
image_heavy_product,mobile,60.0,60.0,0.0,0.0,2720.4,2717.3,-3.0,-0.11,10404.2,10396.8,-7.4,-0.07,0.0063,0.0062,-0.0,-0.25,130.0,141.5,11.5,8.85,12667.2,11116.6,-1550.6,-12.24,70.0,73.0,3.0,4.29
image_heavy_product,desktop,74.0,50.0,-24.0,-32.43,656.6,655.6,-1.0,-0.16,3453.8,2403.1,-1050.7,-30.42,0.0084,0.0081,-0.0003,-3.12,0.0,1575.4,1575.4,,2832.3,2972.3,140.0,4.94,72.0,74.0,2.0,2.78
