phase,run_index,route,device,rep,performance_score,fcp_ms,lcp_ms,cls,tbt_ms,speed_index_ms,ttfb_ms,benchmark_index,requests,transfer_bytes,image_bytes,script_bytes,document_bytes
before,1,home,mobile,1,68.0,2870.0280000000007,31105.181999999997,0.06283115691852263,76.0,3907.353073578203,93.0,1448.0,90,16564573,14829329,305242,25851
before,2,home,mobile,2,68.0,2860.318,44146.431,0.06283115691852263,46.5,3628.4146244296217,89.0,1778.0,90,16564633,14829329,305320,25855
before,3,home,mobile,3,64.0,2864.612,41983.448000000004,0.06283115691852263,40.0,6161.09851118227,126.0,1779.0,90,16564675,14829329,305342,25869
before,4,home,desktop,1,68.0,658.5920000000002,6555.776,0.027893247831795247,0.0,3105.844399667506,97.0,1765.0,116,31355815,29271020,305326,25855
before,5,home,desktop,2,67.0,661.038,7993.633000000003,0.01461388182295439,60.0,3378.1278925543957,89.0,1786.5,116,31355831,29271020,305326,25861
before,6,home,desktop,3,68.0,657.4959999999999,7212.487999999998,0.01461388182295439,0.0,2862.1462619295244,87.0,1769.5,116,31355825,29271020,305305,25857
before,7,catalog,mobile,1,69.0,2703.5509999999995,7208.877499999999,0.0289502493568147,99.0,4662.482264182611,89.0,1795.0,77,9191091,7188769,300932,16491
before,8,catalog,mobile,2,70.0,2703.254,9614.643000000002,0.0286534094866376,56.0,3742.8519986712,75.0,1778.0,77,9191095,7188769,300559,16493
before,9,catalog,mobile,3,43.0,2702.448,9611.016000000001,0.0286534094866376,1424.7760000000003,4297.496249139165,81.0,1775.5,77,9191123,7188769,300813,16493
before,10,catalog,desktop,1,60.0,644.2900000000001,6155.015000000001,0.0036152985913197795,306.0000000000002,1902.3549569697984,83.0,1768.5,79,9243112,7188769,300936,16491
before,11,catalog,desktop,2,49.0,642.597,6149.089499999997,0.003860466074113072,544.7014999999999,2096.257802451057,76.0,1769.0,79,9243011,7188769,300509,16494
before,12,catalog,desktop,3,67.0,644.3399999999999,5137.360000000001,0.003602835088699489,236.83000000000027,1338.937045732317,83.0,1767.5,79,9243103,7188769,300884,16492
before,13,services,mobile,1,74.0,2554.892,6307.338,7.87869476517607e-05,7.0,2760.0271869949834,46.0,1777.0,65,1742889,36332,300583,12475
before,14,services,mobile,2,71.0,2551.9619999999995,9459.81,7.87869476517607e-05,88.0,2868.3301742038675,51.0,1774.0,65,1742972,36332,300577,12472
before,15,services,mobile,3,71.0,2553.5650000000005,11117.825,7.87869476517607e-05,7.0,2982.5409494169826,50.0,1772.0,65,1742882,36332,300929,12478
before,16,services,desktop,1,89.0,602.741,2090.964,0.045907172983030126,0.0,1047.2767383679147,47.0,1774.0,67,1794865,36332,300551,12481
before,17,services,desktop,2,89.0,602.2940000000001,2089.7495,0.04567254612853943,0.0,1075.3944819854464,47.0,1778.0,67,1794829,36332,300522,12485
