keyword,language,proposed_ad_group,recommended_match_type,status,notes
друк блокнотів,uk,AG-01-NOTEBOOKS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
виготовлення блокнотів,uk,AG-01-NOTEBOOKS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
блокноти на замовлення,uk,AG-01-NOTEBOOKS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
брендовані блокноти,uk,AG-02-NOTEBOOKS-BRANDED,phrase,candidate-research-only,Validate in Keyword Planner
блокноти з логотипом,uk,AG-02-NOTEBOOKS-BRANDED,phrase,candidate-research-only,Validate in Keyword Planner
корпоративні блокноти,uk,AG-02-NOTEBOOKS-BRANDED,phrase,candidate-research-only,Validate in Keyword Planner
друк на блокнотах,uk,AG-02-NOTEBOOKS-BRANDED,phrase,candidate-research-only,Validate in Keyword Planner
блокноти оптом з логотипом,uk,AG-02-NOTEBOOKS-BRANDED,phrase,candidate-research-only,Validate in Keyword Planner
печать блокнотов,ru,AG-01-NOTEBOOKS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
блокноты на заказ,ru,AG-01-NOTEBOOKS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
брендированные блокноты,ru,AG-02-NOTEBOOKS-BRANDED,phrase,candidate-research-only,Validate in Keyword Planner
блокноты с логотипом,ru,AG-02-NOTEBOOKS-BRANDED,phrase,candidate-research-only,Validate in Keyword Planner
корпоративные блокноты,ru,AG-02-NOTEBOOKS-BRANDED,phrase,candidate-research-only,Validate in Keyword Planner
щоденники на замовлення,uk,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
брендовані щоденники,uk,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
щоденники з логотипом,uk,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
корпоративні щоденники,uk,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
планери на замовлення,uk,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
брендовані планери,uk,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
планери з логотипом,uk,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
ежедневники на заказ,ru,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
ежедневники с логотипом,ru,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
корпоративные ежедневники,ru,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
планеры на заказ,ru,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
планеры с логотипом,ru,AG-03-PLANNERS-DIARIES,phrase,candidate-research-only,Validate in Keyword Planner
блокноти на пружині,uk,AG-04-NOTEBOOKS-SPRING,phrase,candidate-research-only,Validate in Keyword Planner
друк блокнотів на пружині,uk,AG-04-NOTEBOOKS-SPRING,phrase,candidate-research-only,Validate in Keyword Planner
блокноти на спіралі,uk,AG-04-NOTEBOOKS-SPRING,phrase,candidate-research-only,Validate in Keyword Planner
блокноты на пружине,ru,AG-04-NOTEBOOKS-SPRING,phrase,candidate-research-only,Validate in Keyword Planner
печать блокнотов на пружине,ru,AG-04-NOTEBOOKS-SPRING,phrase,candidate-research-only,Validate in Keyword Planner
