keyword,language,proposed_ad_group,match_type,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low_uah,bid_high_uah,preliminary_decision,review_notes
друк на ручках,uk,AG-01-PENS-GENERIC,phrase,500.0,0%,900%,High,100,24.63,49.86,candidate-priority,Comparatively stronger historical demand
ручки з логотипом,uk,AG-01-PENS-GENERIC,phrase,500.0,0%,0%,High,100,23.20,62.37,candidate-priority,Comparatively stronger historical demand
брендовані ручки,uk,AG-01-PENS-GENERIC,phrase,50.0,0%,0%,High,100,10.69,64.65,candidate-test,Low-volume commercial phrase for controlled testing
печать на ручках,ru,AG-01-PENS-GENERIC,phrase,50.0,0%,0%,High,89,13.30,59.94,candidate-test,Low-volume commercial phrase for controlled testing
ручки на замовлення,uk,AG-01-PENS-GENERIC,phrase,50.0,0%,0%,High,100,11.22,34.01,candidate-test,Low-volume commercial phrase for controlled testing
ручки с логотипом,ru,AG-01-PENS-GENERIC,phrase,50.0,0%,0%,High,69,27.20,89.46,candidate-test,Low-volume commercial phrase for controlled testing
корпоративні ручки,uk,AG-01-PENS-GENERIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
нанесення логотипу на ручки,uk,AG-01-PENS-GENERIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
металлические ручки с логотипом,ru,AG-02-PENS-METAL,phrase,50.0,0%,∞,Low,0,,,candidate-test,Low-volume commercial phrase for controlled testing
брендовані металеві ручки,uk,AG-02-PENS-METAL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
друк на металевих ручках,uk,AG-02-PENS-METAL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
металеві ручки з логотипом,uk,AG-02-PENS-METAL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
печать на металлических ручках,ru,AG-02-PENS-METAL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
пластиковые ручки с логотипом,ru,AG-03-PENS-PLASTIC,phrase,50.0,0%,0%,Low,0,,,candidate-test,Low-volume commercial phrase for controlled testing
брендовані пластикові ручки,uk,AG-03-PENS-PLASTIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
друк на пластикових ручках,uk,AG-03-PENS-PLASTIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
печать на пластиковых ручках,ru,AG-03-PENS-PLASTIC,phrase,0.0,0%,-100%,,,,,hold-no-data,No usable historical search-volume data
пластикові ручки з логотипом,uk,AG-03-PENS-PLASTIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
печать на эко ручках,ru,AG-04-PENS-ECO,phrase,50.0,-100%,0%,,,,,candidate-test,Low-volume commercial phrase for controlled testing
эко ручки с логотипом,ru,AG-04-PENS-ECO,phrase,50.0,0%,0%,Medium,41,,,candidate-test,Low-volume commercial phrase for controlled testing
брендовані еко ручки,uk,AG-04-PENS-ECO,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
друк на еко ручках,uk,AG-04-PENS-ECO,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
еко ручки з логотипом,uk,AG-04-PENS-ECO,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
брендированные карандаши,ru,AG-05-PENCILS,phrase,50.0,0%,0%,Low,0,,,candidate-test,Low-volume commercial phrase for controlled testing
брендовані олівці,uk,AG-05-PENCILS,phrase,50.0,0%,0%,High,94,8.59,33.37,candidate-test,Low-volume commercial phrase for controlled testing
друк на олівцях,uk,AG-05-PENCILS,phrase,50.0,0%,0%,High,100,11.76,36.03,candidate-test,Low-volume commercial phrase for controlled testing
карандаши с логотипом,ru,AG-05-PENCILS,phrase,50.0,0%,0%,Low,11,,,candidate-test,Low-volume commercial phrase for controlled testing
олівці з логотипом,uk,AG-05-PENCILS,phrase,50.0,0%,∞,High,90,18.31,59.86,candidate-test,Low-volume commercial phrase for controlled testing
печать на карандашах,ru,AG-05-PENCILS,phrase,50.0,0%,0%,Low,15,,,candidate-test,Low-volume commercial phrase for controlled testing
олівці на замовлення,uk,AG-05-PENCILS,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
