keyword,language,proposed_ad_group,match_type,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low_uah,bid_high_uah,preliminary_decision,review_notes,final_status
корпоративні ручки,uk,AG-01-PENS-GENERIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
нанесення логотипу на ручки,uk,AG-01-PENS-GENERIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
брендовані металеві ручки,uk,AG-02-PENS-METAL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
друк на металевих ручках,uk,AG-02-PENS-METAL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
металеві ручки з логотипом,uk,AG-02-PENS-METAL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
печать на металлических ручках,ru,AG-02-PENS-METAL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
брендовані пластикові ручки,uk,AG-03-PENS-PLASTIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
друк на пластикових ручках,uk,AG-03-PENS-PLASTIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
печать на пластиковых ручках,ru,AG-03-PENS-PLASTIC,phrase,0.0,0%,-100%,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
пластикові ручки з логотипом,uk,AG-03-PENS-PLASTIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
брендовані еко ручки,uk,AG-04-PENS-ECO,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
друк на еко ручках,uk,AG-04-PENS-ECO,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
еко ручки з логотипом,uk,AG-04-PENS-ECO,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
олівці на замовлення,uk,AG-05-PENCILS,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
