keyword,language,proposed_ad_group,recommended_match_type,status,notes
друк на ручках,uk,AG-01-PENS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
нанесення логотипу на ручки,uk,AG-01-PENS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
ручки з логотипом,uk,AG-01-PENS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
ручки на замовлення,uk,AG-01-PENS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
брендовані ручки,uk,AG-01-PENS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
корпоративні ручки,uk,AG-01-PENS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
печать на ручках,ru,AG-01-PENS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
ручки с логотипом,ru,AG-01-PENS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
друк на металевих ручках,uk,AG-02-PENS-METAL,phrase,candidate-research-only,Validate in Keyword Planner
металеві ручки з логотипом,uk,AG-02-PENS-METAL,phrase,candidate-research-only,Validate in Keyword Planner
брендовані металеві ручки,uk,AG-02-PENS-METAL,phrase,candidate-research-only,Validate in Keyword Planner
печать на металлических ручках,ru,AG-02-PENS-METAL,phrase,candidate-research-only,Validate in Keyword Planner
металлические ручки с логотипом,ru,AG-02-PENS-METAL,phrase,candidate-research-only,Validate in Keyword Planner
друк на пластикових ручках,uk,AG-03-PENS-PLASTIC,phrase,candidate-research-only,Validate in Keyword Planner
пластикові ручки з логотипом,uk,AG-03-PENS-PLASTIC,phrase,candidate-research-only,Validate in Keyword Planner
брендовані пластикові ручки,uk,AG-03-PENS-PLASTIC,phrase,candidate-research-only,Validate in Keyword Planner
печать на пластиковых ручках,ru,AG-03-PENS-PLASTIC,phrase,candidate-research-only,Validate in Keyword Planner
пластиковые ручки с логотипом,ru,AG-03-PENS-PLASTIC,phrase,candidate-research-only,Validate in Keyword Planner
друк на еко ручках,uk,AG-04-PENS-ECO,phrase,candidate-research-only,Validate in Keyword Planner
еко ручки з логотипом,uk,AG-04-PENS-ECO,phrase,candidate-research-only,Validate in Keyword Planner
брендовані еко ручки,uk,AG-04-PENS-ECO,phrase,candidate-research-only,Validate in Keyword Planner
печать на эко ручках,ru,AG-04-PENS-ECO,phrase,candidate-research-only,Validate in Keyword Planner
эко ручки с логотипом,ru,AG-04-PENS-ECO,phrase,candidate-research-only,Validate in Keyword Planner
друк на олівцях,uk,AG-05-PENCILS,phrase,candidate-research-only,Validate in Keyword Planner
олівці з логотипом,uk,AG-05-PENCILS,phrase,candidate-research-only,Validate in Keyword Planner
брендовані олівці,uk,AG-05-PENCILS,phrase,candidate-research-only,Validate in Keyword Planner
олівці на замовлення,uk,AG-05-PENCILS,phrase,candidate-research-only,Validate in Keyword Planner
печать на карандашах,ru,AG-05-PENCILS,phrase,candidate-research-only,Validate in Keyword Planner
карандаши с логотипом,ru,AG-05-PENCILS,phrase,candidate-research-only,Validate in Keyword Planner
брендированные карандаши,ru,AG-05-PENCILS,phrase,candidate-research-only,Validate in Keyword Planner
