keyword,language,proposed_ad_group,match_type,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low_uah,bid_high_uah,preliminary_decision,review_notes
виготовлення папок,uk,AG-01-FOLDERS-GENERIC,phrase,50.0,0%,0%,High,79,,,candidate-test,Low-volume commercial phrase for controlled testing
друк папок,uk,AG-01-FOLDERS-GENERIC,phrase,50.0,0%,0%,High,90,9.00,20.16,candidate-test,Low-volume commercial phrase for controlled testing
папки з логотипом,uk,AG-01-FOLDERS-GENERIC,phrase,50.0,0%,0%,High,100,9.96,23.90,candidate-test,Low-volume commercial phrase for controlled testing
папки на замовлення,uk,AG-01-FOLDERS-GENERIC,phrase,50.0,0%,0%,High,100,7.26,14.67,candidate-test,Low-volume commercial phrase for controlled testing
папки с логотипом,ru,AG-01-FOLDERS-GENERIC,phrase,50.0,0%,0%,High,98,7.59,23.87,candidate-test,Low-volume commercial phrase for controlled testing
печать папок,ru,AG-01-FOLDERS-GENERIC,phrase,50.0,0%,0%,High,100,7.56,32.70,candidate-test,Low-volume commercial phrase for controlled testing
корпоративні папки,uk,AG-01-FOLDERS-GENERIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
папки для документів з логотипом,uk,AG-01-FOLDERS-GENERIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
брендированные папки,ru,AG-02-FOLDERS-FULL-COLOR,phrase,50.0,0%,0%,Low,14,,,candidate-test,Low-volume commercial phrase for controlled testing
брендовані папки,uk,AG-02-FOLDERS-FULL-COLOR,phrase,50.0,0%,0%,High,91,9.98,24.55,candidate-test,Low-volume commercial phrase for controlled testing
друк повноколірних папок,uk,AG-02-FOLDERS-FULL-COLOR,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
папки з повноколірним друком,uk,AG-02-FOLDERS-FULL-COLOR,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
повноколірні папки,uk,AG-02-FOLDERS-FULL-COLOR,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
папки з тисненням фольгою,uk,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
папки з фольгуванням,uk,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
папки с фольгированием,ru,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
тиснение фольгой на папках,ru,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
тиснення фольгою на папках,uk,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
фольгування папок,uk,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
тиснение на папках,ru,AG-04-FOLDERS-EMBOSSING,phrase,50.0,0%,-100%,,,,,candidate-test,Low-volume commercial phrase for controlled testing
папки з тисненням,uk,AG-04-FOLDERS-EMBOSSING,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
папки зі сліпим тисненням,uk,AG-04-FOLDERS-EMBOSSING,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
папки со слепым тиснением,ru,AG-04-FOLDERS-EMBOSSING,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
сліпе тиснення на папках,uk,AG-04-FOLDERS-EMBOSSING,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
тиснення папок,uk,AG-04-FOLDERS-EMBOSSING,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
вибірковий лак на папках,uk,AG-05-FOLDERS-UV-VARNISH,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
папки з вибірковим лаком,uk,AG-05-FOLDERS-UV-VARNISH,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
папки с выборочным лаком,ru,AG-05-FOLDERS-UV-VARNISH,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
уф лак на папках,uk-or-neutral,AG-05-FOLDERS-UV-VARNISH,phrase,,,,,,,,hold-no-data,No usable historical search-volume data
