keyword,language,proposed_ad_group,match_type,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low_uah,bid_high_uah,preliminary_decision,review_notes,final_status
корпоративні папки,uk,AG-01-FOLDERS-GENERIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
папки для документів з логотипом,uk,AG-01-FOLDERS-GENERIC,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
друк повноколірних папок,uk,AG-02-FOLDERS-FULL-COLOR,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
папки з повноколірним друком,uk,AG-02-FOLDERS-FULL-COLOR,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
повноколірні папки,uk,AG-02-FOLDERS-FULL-COLOR,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
папки з тисненням фольгою,uk,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
папки з фольгуванням,uk,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
папки с фольгированием,ru,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
тиснение фольгой на папках,ru,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
тиснення фольгою на папках,uk,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
фольгування папок,uk,AG-03-FOLDERS-FOIL,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
папки з тисненням,uk,AG-04-FOLDERS-EMBOSSING,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
папки зі сліпим тисненням,uk,AG-04-FOLDERS-EMBOSSING,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
папки со слепым тиснением,ru,AG-04-FOLDERS-EMBOSSING,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
сліпе тиснення на папках,uk,AG-04-FOLDERS-EMBOSSING,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
тиснення папок,uk,AG-04-FOLDERS-EMBOSSING,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
вибірковий лак на папках,uk,AG-05-FOLDERS-UV-VARNISH,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
папки з вибірковим лаком,uk,AG-05-FOLDERS-UV-VARNISH,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
папки с выборочным лаком,ru,AG-05-FOLDERS-UV-VARNISH,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
уф лак на папках,uk-or-neutral,AG-05-FOLDERS-UV-VARNISH,phrase,,,,,,,,hold-no-data,No usable historical search-volume data,hold-no-data
