negative_keyword,match_type,status,scope
безкоштовно,phrase,candidate-review-required,campaign
бесплатно,phrase,candidate-review-required,campaign
скачати,phrase,candidate-review-required,campaign
скачать,phrase,candidate-review-required,campaign
завантажити,phrase,candidate-review-required,campaign
шаблон,phrase,candidate-review-required,campaign
template,phrase,candidate-review-required,campaign
макет безкоштовно,phrase,candidate-review-required,campaign
макет бесплатно,phrase,candidate-review-required,campaign
своїми руками,phrase,candidate-review-required,campaign
своими руками,phrase,candidate-review-required,campaign
як зробити,phrase,candidate-review-required,campaign
как сделать,phrase,candidate-review-required,campaign
папка на комп'ютері,phrase,candidate-review-required,campaign
папка на компьютере,phrase,candidate-review-required,campaign
створити папку,phrase,candidate-review-required,campaign
создать папку,phrase,candidate-review-required,campaign
видалити папку,phrase,candidate-review-required,campaign
удалить папку,phrase,candidate-review-required,campaign
нова папка windows,phrase,candidate-review-required,campaign
новая папка windows,phrase,candidate-review-required,campaign
папка android,phrase,candidate-review-required,campaign
папка zip,phrase,candidate-review-required,campaign
архівна папка,phrase,candidate-review-required,campaign
архивная папка,phrase,candidate-review-required,campaign
папка реєстратор,phrase,candidate-review-required,campaign
папка регистратор,phrase,candidate-review-required,campaign
шкільна папка,phrase,candidate-review-required,campaign
школьная папка,phrase,candidate-review-required,campaign
папка для праці,phrase,candidate-review-required,campaign
папка для труда,phrase,candidate-review-required,campaign
папка для ноутбука,phrase,candidate-review-required,campaign
папка для фото,phrase,candidate-review-required,campaign
вакансія,phrase,candidate-review-required,campaign
вакансії,phrase,candidate-review-required,campaign
вакансия,phrase,candidate-review-required,campaign
вакансии,phrase,candidate-review-required,campaign
