keyword,language,proposed_ad_group,recommended_match_type,status,notes
друк папок,uk,AG-01-FOLDERS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
виготовлення папок,uk,AG-01-FOLDERS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
папки на замовлення,uk,AG-01-FOLDERS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
корпоративні папки,uk,AG-01-FOLDERS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
папки з логотипом,uk,AG-01-FOLDERS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
папки для документів з логотипом,uk,AG-01-FOLDERS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
печать папок,ru,AG-01-FOLDERS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
папки с логотипом,ru,AG-01-FOLDERS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
брендовані папки,uk,AG-02-FOLDERS-FULL-COLOR,phrase,candidate-research-only,Validate in Keyword Planner
повноколірні папки,uk,AG-02-FOLDERS-FULL-COLOR,phrase,candidate-research-only,Validate in Keyword Planner
друк повноколірних папок,uk,AG-02-FOLDERS-FULL-COLOR,phrase,candidate-research-only,Validate in Keyword Planner
папки з повноколірним друком,uk,AG-02-FOLDERS-FULL-COLOR,phrase,candidate-research-only,Validate in Keyword Planner
брендированные папки,ru,AG-02-FOLDERS-FULL-COLOR,phrase,candidate-research-only,Validate in Keyword Planner
папки з фольгуванням,uk,AG-03-FOLDERS-FOIL,phrase,candidate-research-only,Validate in Keyword Planner
фольгування папок,uk,AG-03-FOLDERS-FOIL,phrase,candidate-research-only,Validate in Keyword Planner
папки з тисненням фольгою,uk,AG-03-FOLDERS-FOIL,phrase,candidate-research-only,Validate in Keyword Planner
тиснення фольгою на папках,uk,AG-03-FOLDERS-FOIL,phrase,candidate-research-only,Validate in Keyword Planner
папки с фольгированием,ru,AG-03-FOLDERS-FOIL,phrase,candidate-research-only,Validate in Keyword Planner
тиснение фольгой на папках,ru,AG-03-FOLDERS-FOIL,phrase,candidate-research-only,Validate in Keyword Planner
папки зі сліпим тисненням,uk,AG-04-FOLDERS-EMBOSSING,phrase,candidate-research-only,Validate in Keyword Planner
сліпе тиснення на папках,uk,AG-04-FOLDERS-EMBOSSING,phrase,candidate-research-only,Validate in Keyword Planner
тиснення папок,uk,AG-04-FOLDERS-EMBOSSING,phrase,candidate-research-only,Validate in Keyword Planner
папки з тисненням,uk,AG-04-FOLDERS-EMBOSSING,phrase,candidate-research-only,Validate in Keyword Planner
папки со слепым тиснением,ru,AG-04-FOLDERS-EMBOSSING,phrase,candidate-research-only,Validate in Keyword Planner
тиснение на папках,ru,AG-04-FOLDERS-EMBOSSING,phrase,candidate-research-only,Validate in Keyword Planner
папки з вибірковим лаком,uk,AG-05-FOLDERS-UV-VARNISH,phrase,candidate-research-only,Validate in Keyword Planner
вибірковий лак на папках,uk,AG-05-FOLDERS-UV-VARNISH,phrase,candidate-research-only,Validate in Keyword Planner
уф лак на папках,uk,AG-05-FOLDERS-UV-VARNISH,phrase,candidate-research-only,Validate in Keyword Planner
папки с выборочным лаком,ru,AG-05-FOLDERS-UV-VARNISH,phrase,candidate-research-only,Validate in Keyword Planner
уф лак на папках,ru,AG-05-FOLDERS-UV-VARNISH,phrase,candidate-research-only,Validate in Keyword Planner
