research_plan,campaign,proposed_ad_group,final_url,http_status,h1,has_form,has_price,candidate_type,review_status
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-01-FLAGS-GENERIC,https://forprint.net.ua/catalog/prapori-vnderi/,200,"Прапори, віндери та прапорна продукція",1,1,catalog,approved-for-keyword-research
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-02-FLAGS-CLASSIC,https://forprint.net.ua/product/klasichn-prapori-z-ndivdualnim-drukom/,200,Класичні прапори з індивідуальним друком,1,1,product,approved-for-keyword-research
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-03-WINDERS,https://forprint.net.ua/product/mobln-reklamn-prapori-vnderi/,200,Мобільні рекламні прапори — віндери,1,1,product,approved-for-keyword-research
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-04-TABLE-FLAGS,https://forprint.net.ua/product/nastln-praports/,200,Настільні прапорці,1,1,product,approved-for-keyword-research
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-05-CABINET-FLAGS,https://forprint.net.ua/product/kabnetn-prapori/,200,Кабінетні прапори,1,1,product,approved-for-keyword-research
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-06-FACADE-FLAGS,https://forprint.net.ua/product/fasadn-prapori/,200,Фасадні прапори,1,1,product,approved-for-keyword-research
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-07-FLAGPOLE-FLAGS,https://forprint.net.ua/product/prapori-na-vulichniy-flagshtok/,200,Прапори на вуличний флагшток,1,1,product,approved-for-keyword-research
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-08-HAND-FLAGS,https://forprint.net.ua/product/ruchn-praports-z-drukom/,200,Ручні прапорці з друком,1,1,product,approved-for-keyword-research
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-09-CAR-FLAGS,https://forprint.net.ua/product/avtomobln-praports/,200,Автомобільні прапорці,1,1,product,approved-for-keyword-research
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-10-PENNANTS,https://forprint.net.ua/product/vimpeli/,200,Вимпели,1,1,product,approved-for-keyword-research
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-11-FLAG-GARLANDS,https://forprint.net.ua/product/grlyandi-z-praportsv/,200,Гірлянди з прапорців,1,1,product,approved-for-keyword-research
11-flags-winders,FP-SEARCH-09-FLAGS-WINDERS-UA-PROBE,AG-12-FLAGPOLES-ACCESSORIES,https://forprint.net.ua/product/flagshtoki-pdstavki-ta-furntura/,200,"Флагштоки, підставки та фурнітура",1,1,product,approved-for-keyword-research
