keyword,language,proposed_ad_group,recommended_match_type,status,notes
друк прапорів,uk,AG-01-FLAGS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
виготовлення прапорів,uk,AG-01-FLAGS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
прапори на замовлення,uk,AG-01-FLAGS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
прапори з логотипом,uk,AG-01-FLAGS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
печать флагов,ru,AG-01-FLAGS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
флаги на заказ,ru,AG-01-FLAGS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
класичні прапори з друком,uk,AG-02-FLAGS-CLASSIC,phrase,candidate-research-only,Validate in Keyword Planner
прапор з індивідуальним друком,uk,AG-02-FLAGS-CLASSIC,phrase,candidate-research-only,Validate in Keyword Planner
флаги с индивидуальной печатью,ru,AG-02-FLAGS-CLASSIC,phrase,candidate-research-only,Validate in Keyword Planner
рекламні віндери,uk,AG-03-WINDERS,phrase,candidate-research-only,Validate in Keyword Planner
віндери на замовлення,uk,AG-03-WINDERS,phrase,candidate-research-only,Validate in Keyword Planner
мобільні рекламні прапори,uk,AG-03-WINDERS,phrase,candidate-research-only,Validate in Keyword Planner
рекламные виндеры,ru,AG-03-WINDERS,phrase,candidate-research-only,Validate in Keyword Planner
настільні прапорці,uk,AG-04-TABLE-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
настільні прапорці з логотипом,uk,AG-04-TABLE-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
настольные флажки с логотипом,ru,AG-04-TABLE-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
кабінетні прапори,uk,AG-05-CABINET-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
кабинетные флаги,ru,AG-05-CABINET-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
фасадні прапори,uk,AG-06-FACADE-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
фасадные флаги,ru,AG-06-FACADE-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
прапори на флагшток,uk,AG-07-FLAGPOLE-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
флаги на флагшток,ru,AG-07-FLAGPOLE-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
ручні прапорці з друком,uk,AG-08-HAND-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
ручные флажки с печатью,ru,AG-08-HAND-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
автомобільні прапорці,uk,AG-09-CAR-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
автомобильные флажки,ru,AG-09-CAR-FLAGS,phrase,candidate-research-only,Validate in Keyword Planner
вимпели на замовлення,uk,AG-10-PENNANTS,phrase,candidate-research-only,Validate in Keyword Planner
вымпелы на заказ,ru,AG-10-PENNANTS,phrase,candidate-research-only,Validate in Keyword Planner
гірлянди з прапорців,uk,AG-11-FLAG-GARLANDS,phrase,candidate-research-only,Validate in Keyword Planner
флагштоки для прапорів,uk,AG-12-FLAGPOLES-ACCESSORIES,phrase,candidate-research-only,Validate in Keyword Planner
