negative_keyword,match_type,status,scope
безкоштовно,phrase,candidate-review-required,campaign
бесплатно,phrase,candidate-review-required,campaign
скачати,phrase,candidate-review-required,campaign
скачать,phrase,candidate-review-required,campaign
завантажити,phrase,candidate-review-required,campaign
download,phrase,candidate-review-required,campaign
шаблон,phrase,candidate-review-required,campaign
template,phrase,candidate-review-required,campaign
макет безкоштовно,phrase,candidate-review-required,campaign
макет бесплатно,phrase,candidate-review-required,campaign
своїми руками,phrase,candidate-review-required,campaign
своими руками,phrase,candidate-review-required,campaign
як зробити,phrase,candidate-review-required,campaign
как сделать,phrase,candidate-review-required,campaign
принтер для футболок,phrase,candidate-review-required,campaign
принтер для одягу,phrase,candidate-review-required,campaign
принтер для одежды,phrase,candidate-review-required,campaign
термопрес,phrase,candidate-review-required,campaign
термопресс,phrase,candidate-review-required,campaign
плоттер,phrase,candidate-review-required,campaign
обладнання для друку,phrase,candidate-review-required,campaign
оборудование для печати,phrase,candidate-review-required,campaign
фарба для тканини,phrase,candidate-review-required,campaign
краска для ткани,phrase,candidate-review-required,campaign
плівка для термодруку,phrase,candidate-review-required,campaign
пленка для термопечати,phrase,candidate-review-required,campaign
термотрансферний папір,phrase,candidate-review-required,campaign
термотрансферная бумага,phrase,candidate-review-required,campaign
уроки вишивки,phrase,candidate-review-required,campaign
уроки вышивки,phrase,candidate-review-required,campaign
схема вишивки,phrase,candidate-review-required,campaign
схема вышивки,phrase,candidate-review-required,campaign
вишивка хрестиком,phrase,candidate-review-required,campaign
вышивка крестиком,phrase,candidate-review-required,campaign
машинка для вишивки,phrase,candidate-review-required,campaign
вышивальная машина,phrase,candidate-review-required,campaign
ремонт одягу,phrase,candidate-review-required,campaign
ремонт одежды,phrase,candidate-review-required,campaign
хімчистка,phrase,candidate-review-required,campaign
химчистка,phrase,candidate-review-required,campaign
секонд хенд,phrase,candidate-review-required,campaign
вакансія,phrase,candidate-review-required,campaign
вакансії,phrase,candidate-review-required,campaign
вакансия,phrase,candidate-review-required,campaign
вакансии,phrase,candidate-review-required,campaign
