keyword,language,proposed_ad_group,recommended_match_type,status,notes
брендування текстилю,uk,AG-01-TEXTILE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
друк на одязі,uk,AG-01-TEXTILE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
одяг з логотипом,uk,AG-01-TEXTILE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
нанесення логотипу на одяг,uk,AG-01-TEXTILE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
печать на одежде,ru,AG-01-TEXTILE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
одежда с логотипом,ru,AG-01-TEXTILE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
друк на футболках,uk,AG-02-TSHIRTS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
футболки з принтом на замовлення,uk,AG-02-TSHIRTS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
футболки з логотипом,uk,AG-02-TSHIRTS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
печать на футболках,ru,AG-02-TSHIRTS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
вишивка на футболках,uk,AG-03-TSHIRTS-EMBROIDERY,phrase,candidate-research-only,Validate in Keyword Planner
футболки з вишивкою,uk,AG-03-TSHIRTS-EMBROIDERY,phrase,candidate-research-only,Validate in Keyword Planner
вышивка на футболках,ru,AG-03-TSHIRTS-EMBROIDERY,phrase,candidate-research-only,Validate in Keyword Planner
друк на кепках,uk,AG-04-CAPS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
кепки з логотипом,uk,AG-04-CAPS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
печать на кепках,ru,AG-04-CAPS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
вишивка на кепках,uk,AG-05-CAPS-EMBROIDERY,phrase,candidate-research-only,Validate in Keyword Planner
об'ємна вишивка на кепках,uk,AG-05-CAPS-EMBROIDERY,phrase,candidate-research-only,Validate in Keyword Planner
кепки з вишивкою,uk,AG-05-CAPS-EMBROIDERY,phrase,candidate-research-only,Validate in Keyword Planner
вышивка на кепках,ru,AG-05-CAPS-EMBROIDERY,phrase,candidate-research-only,Validate in Keyword Planner
друк на шоперах,uk,AG-06-SHOPPERS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
еко шопери з логотипом,uk,AG-06-SHOPPERS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
шопери на замовлення,uk,AG-06-SHOPPERS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
печать на шоперах,ru,AG-06-SHOPPERS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
вишивка на шоперах,uk,AG-07-SHOPPERS-EMBROIDERY,phrase,candidate-research-only,Validate in Keyword Planner
еко шопери з вишивкою,uk,AG-07-SHOPPERS-EMBROIDERY,phrase,candidate-research-only,Validate in Keyword Planner
вышивка на шоперах,ru,AG-07-SHOPPERS-EMBROIDERY,phrase,candidate-research-only,Validate in Keyword Planner
брендування спецодягу,uk,AG-08-WORKWEAR-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
спецодяг з логотипом,uk,AG-08-WORKWEAR-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
брендирование спецодежды,ru,AG-08-WORKWEAR-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
