keyword,language,proposed_ad_group,recommended_match_type,status,notes
брендування посуду,uk,AG-01-DRINKWARE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
друк на посуді,uk,AG-01-DRINKWARE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
посуд з логотипом,uk,AG-01-DRINKWARE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
нанесення логотипу на посуд,uk,AG-01-DRINKWARE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
брендирование посуды,ru,AG-01-DRINKWARE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
посуда с логотипом,ru,AG-01-DRINKWARE-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
друк на чашках,uk,AG-02-MUGS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
чашки з логотипом,uk,AG-02-MUGS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
чашки на замовлення,uk,AG-02-MUGS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
фотодрук на чашках,uk,AG-02-MUGS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
чашка з власним дизайном,uk,AG-02-MUGS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
брендовані чашки,uk,AG-02-MUGS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
печать на чашках,ru,AG-02-MUGS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
чашки с логотипом,ru,AG-02-MUGS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
чашки на заказ,ru,AG-02-MUGS-PRINT,phrase,candidate-research-only,Validate in Keyword Planner
брендування стаканів,uk,AG-03-CUPS-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
стакани з логотипом,uk,AG-03-CUPS-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
друк на стаканах,uk,AG-03-CUPS-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
стакани на замовлення,uk,AG-03-CUPS-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
брендовані стакани,uk,AG-03-CUPS-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
брендирование стаканов,ru,AG-03-CUPS-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
стаканы с логотипом,ru,AG-03-CUPS-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
печать на стаканах,ru,AG-03-CUPS-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
брендування термосів,uk,AG-04-THERMOSES-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
термоси з логотипом,uk,AG-04-THERMOSES-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
друк на термосах,uk,AG-04-THERMOSES-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
термоси на замовлення,uk,AG-04-THERMOSES-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
брендирование термосов,ru,AG-04-THERMOSES-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
термосы с логотипом,ru,AG-04-THERMOSES-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
печать на термосах,ru,AG-04-THERMOSES-BRANDING,phrase,candidate-research-only,Validate in Keyword Planner
