keyword,language,proposed_ad_group,match_type,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low_uah,bid_high_uah,preliminary_decision,review_notes
друк календарів,uk,AG-01-CALENDARS-GENERIC,phrase,500.0,0%,0%,High,100,8.05,38.82,candidate-priority,Strong measurable demand for launch testing
брендовані календарі,uk,AG-01-CALENDARS-GENERIC,phrase,50.0,0%,0%,High,100,,,candidate-test,Commercial phrase with measurable demand
виготовлення календарів,uk,AG-01-CALENDARS-GENERIC,phrase,50.0,0%,0%,Medium,62,5.06,59.63,candidate-test,Commercial phrase with measurable demand
календари на заказ,ru,AG-01-CALENDARS-GENERIC,phrase,50.0,0%,0%,High,100,,,candidate-test,Commercial phrase with measurable demand
календари с логотипом,ru,AG-01-CALENDARS-GENERIC,phrase,50.0,0%,∞,Medium,50,,,candidate-test,Commercial phrase with measurable demand
календарі на замовлення,uk,AG-01-CALENDARS-GENERIC,phrase,50.0,0%,0%,High,100,4.98,18.28,candidate-test,Commercial phrase with measurable demand
корпоративные календари,ru,AG-01-CALENDARS-GENERIC,phrase,50.0,0%,0%,Low,0,,,candidate-test,Commercial phrase with measurable demand
корпоративні календарі,uk,AG-01-CALENDARS-GENERIC,phrase,50.0,-100%,-100%,,,,,candidate-test,Commercial phrase with measurable demand
печать календарей,ru,AG-01-CALENDARS-GENERIC,phrase,50.0,0%,0%,Medium,35,10.47,28.58,candidate-test,Commercial phrase with measurable demand
квартальные календари с логотипом,ru,AG-02-QUARTERLY-CALENDARS,phrase,50.0,-100%,-100%,,,,,candidate-test,Commercial phrase with measurable demand
квартальный календарь на заказ,ru,AG-02-QUARTERLY-CALENDARS,phrase,50.0,-100%,0%,,,,,candidate-test,Commercial phrase with measurable demand
квартальні календарі,uk,AG-02-QUARTERLY-CALENDARS,phrase,50.0,0%,0%,High,100,,,candidate-test,Commercial phrase with measurable demand
печать квартальных календарей,ru,AG-02-QUARTERLY-CALENDARS,phrase,50.0,0%,∞,Low,29,,,candidate-test,Commercial phrase with measurable demand
настільні календарі,uk,AG-03-DESK-CALENDARS,phrase,500.0,0%,0%,High,100,2.09,7.59,candidate-priority,Strong measurable demand for launch testing
настольные календари на заказ,ru,AG-03-DESK-CALENDARS,phrase,50.0,∞,0%,High,100,,,candidate-test,Commercial phrase with measurable demand
настольные календари с логотипом,ru,AG-03-DESK-CALENDARS,phrase,50.0,0%,∞,Low,0,,,candidate-test,Commercial phrase with measurable demand
печать настольных календарей,ru,AG-03-DESK-CALENDARS,phrase,50.0,0%,0%,Low,0,,,candidate-test,Commercial phrase with measurable demand
