keyword,language,proposed_ad_group,recommended_match_type,status,notes
друк календарів,uk,AG-01-CALENDARS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
виготовлення календарів,uk,AG-01-CALENDARS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
календарі на замовлення,uk,AG-01-CALENDARS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
календарі з логотипом,uk,AG-01-CALENDARS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
корпоративні календарі,uk,AG-01-CALENDARS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
брендовані календарі,uk,AG-01-CALENDARS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
печать календарей,ru,AG-01-CALENDARS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
календари на заказ,ru,AG-01-CALENDARS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
календари с логотипом,ru,AG-01-CALENDARS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
корпоративные календари,ru,AG-01-CALENDARS-GENERIC,phrase,candidate-research-only,Validate in Keyword Planner
квартальні календарі,uk,AG-02-QUARTERLY-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
друк квартальних календарів,uk,AG-02-QUARTERLY-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
квартальні календарі на замовлення,uk,AG-02-QUARTERLY-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
квартальні календарі з логотипом,uk,AG-02-QUARTERLY-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
виготовлення квартальних календарів,uk,AG-02-QUARTERLY-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
корпоративні квартальні календарі,uk,AG-02-QUARTERLY-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
брендовані квартальні календарі,uk,AG-02-QUARTERLY-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
квартальный календарь на заказ,ru,AG-02-QUARTERLY-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
печать квартальных календарей,ru,AG-02-QUARTERLY-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
квартальные календари с логотипом,ru,AG-02-QUARTERLY-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
настільні календарі,uk,AG-03-DESK-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
друк настільних календарів,uk,AG-03-DESK-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
настільні календарі на замовлення,uk,AG-03-DESK-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
настільні календарі з логотипом,uk,AG-03-DESK-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
виготовлення настільних календарів,uk,AG-03-DESK-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
корпоративні настільні календарі,uk,AG-03-DESK-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
брендовані настільні календарі,uk,AG-03-DESK-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
настольные календари на заказ,ru,AG-03-DESK-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
печать настольных календарей,ru,AG-03-DESK-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
настольные календари с логотипом,ru,AG-03-DESK-CALENDARS,phrase,candidate-research-only,Validate in Keyword Planner
