negative_keyword,match_type,status
безкоштовно,phrase,active-research-negative
бесплатно,phrase,active-research-negative
скачати,phrase,active-research-negative
скачать,phrase,active-research-negative
шаблон,phrase,active-research-negative
template,phrase,active-research-negative
своїми руками,phrase,active-research-negative
своими руками,phrase,active-research-negative
як зробити,phrase,active-research-negative
как сделать,phrase,active-research-negative
навчання,phrase,active-research-negative
обучение,phrase,active-research-negative
курс,phrase,active-research-negative
вакансія,phrase,active-research-negative
вакансия,phrase,active-research-negative
онлайн генератор,phrase,active-research-negative
генератор бейджів,phrase,active-research-negative
генератор бейджей,phrase,active-research-negative
бейдж steam,phrase,active-research-negative
steam badge,phrase,active-research-negative
бейдж discord,phrase,active-research-negative
бейдж roblox,phrase,active-research-negative
бейдж minecraft,phrase,active-research-negative
цифровий бейдж,phrase,active-research-negative
цифровой бейдж,phrase,active-research-negative
віртуальний бейдж,phrase,active-research-negative
виртуальный бейдж,phrase,active-research-negative
електронний бейдж,phrase,active-research-negative
электронный бейдж,phrase,active-research-negative
