negative_keyword,match_type,status
безкоштовно,phrase,active-research-negative
бесплатно,phrase,active-research-negative
скачати,phrase,active-research-negative
скачать,phrase,active-research-negative
шаблон,phrase,active-research-negative
своїми руками,phrase,active-research-negative
своими руками,phrase,active-research-negative
як поклеїти,phrase,active-research-negative
как клеить,phrase,active-research-negative
навчання,phrase,active-research-negative
обучение,phrase,active-research-negative
курс,phrase,active-research-negative
вакансія,phrase,active-research-negative
вакансия,phrase,active-research-negative
тонування авто,phrase,active-research-negative
тонировка авто,phrase,active-research-negative
плівка на авто,phrase,active-research-negative
пленка на авто,phrase,active-research-negative
бронеплівка,phrase,active-research-negative
бронепленка,phrase,active-research-negative
атермальна плівка,phrase,active-research-negative
атермальная пленка,phrase,active-research-negative
вікна купити,phrase,active-research-negative
купити вікна,phrase,active-research-negative
окна купить,phrase,active-research-negative
купить окна,phrase,active-research-negative
пластикові вікна,phrase,active-research-negative
пластиковые окна,phrase,active-research-negative
металопластикові вікна,phrase,active-research-negative
ремонт вікон,phrase,active-research-negative
ремонт окон,phrase,active-research-negative
заміна вікон,phrase,active-research-negative
замена окон,phrase,active-research-negative
мийка вікон,phrase,active-research-negative
мойка окон,phrase,active-research-negative
холодильна вітрина,phrase,active-research-negative
холодильная витрина,phrase,active-research-negative
вітрина купити,phrase,active-research-negative
витрина купить,phrase,active-research-negative
торгове обладнання,phrase,active-research-negative
торговое оборудование,phrase,active-research-negative
