negative_keyword,match_type,status
безкоштовно,phrase,active-research-negative
бесплатно,phrase,active-research-negative
скачати,phrase,active-research-negative
скачать,phrase,active-research-negative
завантажити,phrase,active-research-negative
шаблон,phrase,active-research-negative
template,phrase,active-research-negative
своїми руками,phrase,active-research-negative
своими руками,phrase,active-research-negative
як зробити,phrase,active-research-negative
как сделать,phrase,active-research-negative
урок,phrase,active-research-negative
навчання,phrase,active-research-negative
обучение,phrase,active-research-negative
курс,phrase,active-research-negative
вакансія,phrase,active-research-negative
вакансії,phrase,active-research-negative
вакансия,phrase,active-research-negative
вакансии,phrase,active-research-negative
стікери телеграм,phrase,active-research-negative
стикеры телеграм,phrase,active-research-negative
telegram stickers,phrase,active-research-negative
стікери whatsapp,phrase,active-research-negative
стикеры whatsapp,phrase,active-research-negative
whatsapp stickers,phrase,active-research-negative
стікери viber,phrase,active-research-negative
стикеры viber,phrase,active-research-negative
стікери discord,phrase,active-research-negative
стикеры discord,phrase,active-research-negative
стікери steam,phrase,active-research-negative
стикеры steam,phrase,active-research-negative
sticker pack download,phrase,active-research-negative
стікерпак скачати,phrase,active-research-negative
стикерпак скачать,phrase,active-research-negative
анімаційні стікери,phrase,active-research-negative
анимированные стикеры,phrase,active-research-negative
gif стікери,phrase,active-research-negative
gif стикеры,phrase,active-research-negative
емодзі,phrase,active-research-negative
эмодзи,phrase,active-research-negative
смайлики,phrase,active-research-negative
принтер для наліпок,phrase,active-research-negative
принтер для наклейок,phrase,active-research-negative
принтер для наклеек,phrase,active-research-negative
обладнання для друку наліпок,phrase,active-research-negative
оборудование для печати наклеек,phrase,active-research-negative
машина для печати наклеек,phrase,active-research-negative
обладнання для друку,phrase,active-research-negative
оборудование для печати,phrase,active-research-negative
принтер для друку,phrase,active-research-negative
принтер для печати,phrase,active-research-negative
друк на футболках,phrase,active-research-negative
печать на футболках,phrase,active-research-negative
цифрові стікери,phrase,active-research-negative
цифровые стикеры,phrase,active-research-negative
