negative_keyword,match_type,status
безкоштовно,phrase,active-research-negative
бесплатно,phrase,active-research-negative
скачати,phrase,active-research-negative
скачать,phrase,active-research-negative
завантажити,phrase,active-research-negative
шаблон,phrase,active-research-negative
template,phrase,active-research-negative
шаблон буклета,phrase,active-research-negative
шаблон каталога,phrase,active-research-negative
макет безкоштовно,phrase,active-research-negative
макет бесплатно,phrase,active-research-negative
своїми руками,phrase,active-research-negative
своими руками,phrase,active-research-negative
як зробити буклет,phrase,active-research-negative
как сделать буклет,phrase,active-research-negative
онлайн конструктор,phrase,active-research-negative
конструктор буклетів,phrase,active-research-negative
конструктор буклетов,phrase,active-research-negative
каталог оріфлейм,phrase,active-research-negative
каталог орифлейм,phrase,active-research-negative
замовлення оріфлейм,phrase,active-research-negative
заказ орифлейм,phrase,active-research-negative
каталог avon,phrase,active-research-negative
каталог ейвон,phrase,active-research-negative
каталог ikea,phrase,active-research-negative
каталог ікеа,phrase,active-research-negative
каталог епіцентр,phrase,active-research-negative
каталог эпицентр,phrase,active-research-negative
каталог атб,phrase,active-research-negative
каталог супермаркету,phrase,active-research-negative
каталог супермаркета,phrase,active-research-negative
торти на замовлення каталог,phrase,active-research-negative
торты на заказ каталог,phrase,active-research-negative
принтер для буклетів,phrase,active-research-negative
принтер для буклетов,phrase,active-research-negative
обладнання для друку,phrase,active-research-negative
оборудование для печати,phrase,active-research-negative
вакансія,phrase,active-research-negative
вакансії,phrase,active-research-negative
вакансия,phrase,active-research-negative
вакансии,phrase,active-research-negative
