keyword,language,recommended_match_type,avg_monthly_searches,competition,competition_index,bid_low_uah,bid_high_uah,status
брендування вітрин,uk-or-neutral,phrase,,,,,,approved-research-set
оформлення вітрин,uk-or-neutral,phrase,50,Medium,38,,,approved-research-set
оформлення вітрини,uk-or-neutral,phrase,50,Medium,38,,,approved-research-set
поклейка вітрин,uk-or-neutral,phrase,,Unknown,,,,approved-research-set
поклейка вікон,uk-or-neutral,phrase,50,High,71,,,approved-research-set
поклейка вікон плівкою,uk-or-neutral,phrase,,,,,,approved-research-set
перфорована плівка,uk-or-neutral,phrase,50,High,86,,,approved-research-set
перфорована плівка на вікна,uk-or-neutral,phrase,,,,,,approved-research-set
реклама на вітринах,uk-or-neutral,phrase,,Unknown,,,,approved-research-set
наклейки на вітрини,uk-or-neutral,phrase,,,,,,approved-research-set
оформлення вікон магазину,uk-or-neutral,phrase,,,,,,approved-research-set
графік роботи на склі,uk-or-neutral,phrase,50,Low,11,,,approved-research-set
брендування фасаду,uk-or-neutral,phrase,,,,,,approved-research-set
