keyword,language,recommended_match_type,avg_monthly_searches,competition,competition_index,bid_low_uah,bid_high_uah,status
друк меню,uk-or-neutral,phrase,50,High,100,6.98,34.17,approved-research-set
виготовлення меню,uk-or-neutral,phrase,50,High,100,9.94,49.01,approved-research-set
меню на замовлення,uk-or-neutral,phrase,,,,,,approved-research-set
друк меню для кафе,uk-or-neutral,phrase,,,,,,approved-research-set
друк меню для ресторану,uk-or-neutral,phrase,,,,,,approved-research-set
дизайн і друк меню,uk-or-neutral,phrase,,,,,,approved-research-set
дизайн меню,uk-or-neutral,phrase,50,High,82,15.55,41.29,approved-research-set
верстка меню,uk-or-neutral,phrase,,,,,,approved-research-set
меню на кільцях,uk-or-neutral,phrase,,,,,,approved-research-set
меню на пружині,uk-or-neutral,phrase,,,,,,approved-research-set
ламіноване меню,uk-or-neutral,phrase,,,,,,approved-research-set
печать меню,uk-or-neutral,phrase,,,,,,approved-research-set
изготовление меню,uk-or-neutral,phrase,,,,,,approved-research-set
меню на заказ,uk-or-neutral,phrase,,,,,,approved-research-set
печать меню для кафе,uk-or-neutral,phrase,,,,,,approved-research-set
печать меню для ресторана,uk-or-neutral,phrase,,,,,,approved-research-set
дизайн и печать меню,uk-or-neutral,phrase,,,,,,approved-research-set
меню на кольцах,uk-or-neutral,phrase,,,,,,approved-research-set
меню на пружине,uk-or-neutral,phrase,,,,,,approved-research-set
