keyword,language,recommended_match_type,avg_monthly_searches,competition,competition_index,bid_low_uah,bid_high_uah,status
брендовані стікери,uk-or-neutral,phrase,50.0,High,100,9.73,18.78,approved-research-set
виготовлення етикеток,uk-or-neutral,phrase,50.0,High,94,14.72,57.03,approved-research-set
виготовлення наклейок,uk-or-neutral,phrase,500.0,High,99,8.02,31.89,approved-research-set
виготовлення наліпок,uk-or-neutral,phrase,50.0,High,100,10.39,40.92,approved-research-set
друк етикеток,uk-or-neutral,phrase,500.0,High,100,12.52,55.69,approved-research-set
друк наклейок,uk-or-neutral,phrase,500.0,High,100,9.07,32.56,approved-research-set
друк наліпок,uk-or-neutral,phrase,500.0,High,100,10.14,39.49,approved-research-set
друк стікерів,uk-or-neutral,phrase,500.0,High,100,9.23,28.81,approved-research-set
етикетки для продукції,uk-or-neutral,phrase,,,,,,approved-research-set
етикетки на замовлення,uk-or-neutral,phrase,,,,,,approved-research-set
изготовление наклеек,uk-or-neutral,phrase,50.0,High,100,8.55,40.38,approved-research-set
изготовление этикеток,ru,phrase,50.0,High,98,13.81,54.71,approved-research-set
контурные наклейки,ru,phrase,50.0,Low,26,,,approved-research-set
контурні наліпки,uk-or-neutral,phrase,,,,,,approved-research-set
наклейки з логотипом,uk-or-neutral,phrase,500.0,High,91,7.36,30.51,approved-research-set
наклейки на заказ,uk-or-neutral,phrase,500.0,High,100,5.98,22.17,approved-research-set
наклейки на замовлення,uk-or-neutral,phrase,500.0,High,100,6.21,25.17,approved-research-set
наклейки с логотипом,uk-or-neutral,phrase,500.0,High,95,7.07,30.22,approved-research-set
наліпки на замовлення,uk-or-neutral,phrase,500.0,High,100,6.61,21.90,approved-research-set
печать наклеек,uk-or-neutral,phrase,500.0,High,100,7.16,34.01,approved-research-set
печать стикеров,uk-or-neutral,phrase,500.0,High,100,6.58,33.34,approved-research-set
печать этикеток,ru,phrase,500.0,High,100,8.95,33.16,approved-research-set
самоклеючі етикетки,uk-or-neutral,phrase,50.0,High,100,7.97,36.44,approved-research-set
самоклеящиеся этикетки,ru,phrase,50.0,High,100,7.93,28.90,approved-research-set
стикеры на заказ,ru,phrase,50.0,High,100,7.88,30.23,approved-research-set
стікери на замовлення,uk-or-neutral,phrase,500.0,High,100,5.98,22.88,approved-research-set
этикетки на заказ,ru,phrase,50.0,Low,18,,,approved-research-set
