keyword,language,recommended_match_type,avg_monthly_searches,competition,competition_index,bid_low_uah,bid_high_uah,status
виготовлення візиток,uk-or-neutral,phrase,500.0,High,100,6.94,18.46,approved-research-set
виготовлення листівок,uk-or-neutral,phrase,50.0,High,100,10.22,26.47,approved-research-set
візитки друк,uk-or-neutral,phrase,500.0,High,100,8.42,24.77,approved-research-set
візитки замовити,uk-or-neutral,phrase,500.0,High,100,8.34,22.86,approved-research-set
візитки на замовлення,uk-or-neutral,phrase,500.0,High,100,6.31,19.88,approved-research-set
дизайн візиток,uk-or-neutral,phrase,500.0,High,99,7.23,20.45,approved-research-set
дизайн візиток ціна,uk-or-neutral,phrase,50.0,High,91,7.23,13.39,approved-research-set
друк візиток,uk-or-neutral,phrase,500.0,High,100,9.30,30.30,approved-research-set
друк візиток ціна,uk-or-neutral,phrase,50.0,High,100,4.98,17.59,approved-research-set
друк листівок,uk-or-neutral,phrase,500.0,High,100,7.34,27.90,approved-research-set
друк флаєрів,uk-or-neutral,phrase,500.0,High,100,10.36,28.11,approved-research-set
замовити візитки,uk-or-neutral,phrase,500.0,High,100,9.35,24.35,approved-research-set
замовити візитки онлайн,uk-or-neutral,phrase,50.0,High,100,8.29,16.51,approved-research-set
замовити візитки ціна,uk-or-neutral,phrase,50.0,High,79,10.87,30.04,approved-research-set
зробити візитки,uk-or-neutral,phrase,500.0,High,100,6.05,14.76,approved-research-set
листівки на замовлення,uk-or-neutral,phrase,50.0,High,100,6.98,23.86,approved-research-set
надрукувати візитки,uk-or-neutral,phrase,50.0,High,100,6.99,21.76,approved-research-set
флаєри на замовлення,uk-or-neutral,phrase,50.0,Low,18,,,approved-research-set
