negative_keyword,match_type,status
безкоштовно,phrase,active-research-negative
бесплатно,phrase,active-research-negative
скачати,phrase,active-research-negative
скачать,phrase,active-research-negative
завантажити,phrase,active-research-negative
шаблон,phrase,active-research-negative
template,phrase,active-research-negative
menu template,phrase,active-research-negative
шаблон psd,phrase,active-research-negative
шаблон photoshop,phrase,active-research-negative
мокап меню,phrase,active-research-negative
мокапы меню,phrase,active-research-negative
скачать мокап,phrase,active-research-negative
рецепт,phrase,active-research-negative
рецепти,phrase,active-research-negative
рецепты,phrase,active-research-negative
меню на тиждень,phrase,active-research-negative
меню на неделю,phrase,active-research-negative
дієта,phrase,active-research-negative
диета,phrase,active-research-negative
доставка їжі,phrase,active-research-negative
доставка еды,phrase,active-research-negative
замовити їжу,phrase,active-research-negative
заказать еду,phrase,active-research-negative
доставка суші,phrase,active-research-negative
доставка суши,phrase,active-research-negative
доставка піци,phrase,active-research-negative
доставка пиццы,phrase,active-research-negative
бізнес ланч доставка,phrase,active-research-negative
бизнес ланч доставка,phrase,active-research-negative
електронне меню,phrase,active-research-negative
электронное меню,phrase,active-research-negative
онлайн меню,phrase,active-research-negative
online menu,phrase,active-research-negative
дизайн меню сайта,phrase,active-research-negative
веб дизайн меню,phrase,active-research-negative
конструктор меню,phrase,active-research-negative
безкоштовний конструктор меню,phrase,active-research-negative
бесплатный конструктор меню,phrase,active-research-negative
вакансія,phrase,active-research-negative
вакансії,phrase,active-research-negative
вакансия,phrase,active-research-negative
вакансии,phrase,active-research-negative
робота в ресторані,phrase,active-research-negative
работа в ресторане,phrase,active-research-negative
