negative_keyword,match_type,status
безкоштовно,phrase,active-research-negative
бесплатно,phrase,active-research-negative
скачати,phrase,active-research-negative
скачать,phrase,active-research-negative
завантажити,phrase,active-research-negative
шаблон,phrase,active-research-negative
template,phrase,active-research-negative
шаблон візитки,phrase,active-research-negative
шаблон визитки,phrase,active-research-negative
візитка шаблон word,phrase,active-research-negative
визитка шаблон word,phrase,active-research-negative
шаблон psd,phrase,active-research-negative
макет безкоштовно,phrase,active-research-negative
макет бесплатно,phrase,active-research-negative
своїми руками,phrase,active-research-negative
своими руками,phrase,active-research-negative
як зробити самому,phrase,active-research-negative
как сделать самому,phrase,active-research-negative
онлайн конструктор,phrase,active-research-negative
конструктор візиток,phrase,active-research-negative
конструктор визиток,phrase,active-research-negative
генератор візиток,phrase,active-research-negative
генератор визиток,phrase,active-research-negative
електронна візитка,phrase,active-research-negative
электронная визитка,phrase,active-research-negative
цифрова візитка,phrase,active-research-negative
цифровая визитка,phrase,active-research-negative
віртуальна візитка,phrase,active-research-negative
виртуальная визитка,phrase,active-research-negative
вітальні листівки,phrase,active-research-negative
поздравительные открытки,phrase,active-research-negative
листівки з днем народження,phrase,active-research-negative
открытки с днем рождения,phrase,active-research-negative
листівки доброго ранку,phrase,active-research-negative
открытки доброе утро,phrase,active-research-negative
скачати листівку,phrase,active-research-negative
скачать открытку,phrase,active-research-negative
електронна листівка,phrase,active-research-negative
электронная открытка,phrase,active-research-negative
принтер для візиток,phrase,active-research-negative
принтер для визиток,phrase,active-research-negative
обладнання для друку,phrase,active-research-negative
оборудование для печати,phrase,active-research-negative
вакансія,phrase,active-research-negative
вакансії,phrase,active-research-negative
вакансия,phrase,active-research-negative
вакансии,phrase,active-research-negative
