keyword,language,recommended_match_type,avg_monthly_searches,competition,competition_index,bid_low_uah,bid_high_uah,status
бейджі на замовлення,uk-or-neutral,phrase,,,,,,approved-research-set
виготовлення бейджів,uk-or-neutral,phrase,50,High,100,6.25,23.34,approved-research-set
бейджі для персоналу,uk-or-neutral,phrase,,,,,,approved-research-set
персоналізовані бейджі,uk-or-neutral,phrase,,,,,,approved-research-set
пластикові бейджі,uk-or-neutral,phrase,,,,,,approved-research-set
бейджі з віконцем,uk-or-neutral,phrase,,,,,,approved-research-set
стрічки для бейджів,uk-or-neutral,phrase,500,High,100,5.81,20.74,approved-research-set
ланьярди з логотипом,uk-or-neutral,phrase,,,,,,approved-research-set
брендовані стрічки,uk-or-neutral,phrase,,,,,,approved-research-set
ретрактор для бейджа,uk-or-neutral,phrase,,,,,,approved-research-set
бейджі,uk-or-neutral,phrase,500,High,100,8.20,32.73,approved-research-set
бейджики купити,uk-or-neutral,phrase,500,High,100,2.66,16.80,approved-research-set
купити бейджики,uk-or-neutral,phrase,500,High,100,1.89,15.11,approved-research-set
бейджики для офіціантів,uk-or-neutral,phrase,50,High,72,5.85,14.37,approved-research-set
бейджики ціна,uk-or-neutral,phrase,50,High,100,,,approved-research-set
